sector  pad  layer noise_in_MeV
1  35  3  0.03756257280247492
1  32  3  0.022980543366126035
1  33  3  0.035894143775816685
1  30  3  0.02711637238004211
1  31  3  0.048470172284773655
1  28  3  0.024036826916545656
1  29  3  0.0372414287457904
1  26  3  0.027007769638151727
1  27  3  0.023797938387628545
1  24  3  0.029315244409305892
1  25  3  0.03544200896610589
1  22  3  0.04018038452527741
1  23  3  0.024640816624520636
1  20  3  0.025586862006875943
1  21  3  0.03954131504455257
1  18  3  0.0398872658341019
1  19  3  0.037363639467731885
1  16  3  0.03484575252151946
1  17  3  0.04038801481430395
1  14  3  0.04276694512905797
1  15  3  0.0446398807570143
1  12  3  0.04014902896684817
1  13  3  0.039397179167939535
1  10  3  0.051504260496227826
1  11  3  0.03636455785543386
1  8  3  0.04571751979261094
1  9  3  0.05874903704042787
1  6  3  0.04329230857867042
1  7  3  0.05437786331657535
1  4  3  0.052617162073537185
1  5  3  0.07786772444155063
1  2  3  0.05463910899953072
1  3  3  0.05966090225311011
1  0  3  0.06477863259681771
1  1  3  0.06938100668503383
0  1  3  0.0853127445603312
0  0  3  0.1058609226131143
0  3  3  0.08399260196814992
0  2  3  0.07503525175870972
0  5  3  0.08255161348719123
0  4  3  0.08817684339461128
0  7  3  0.06612057454165715
0  6  3  0.07045994171873055
0  9  3  0.06412422476495208
0  8  3  0.08233740826274842
0  11  3  0.06206717195635682
0  10  3  0.06804337049212406
0  13  3  0.05402112678459584
0  12  3  0.06779010967658397
0  15  3  0.05286142211106333
0  14  3  0.0540543622523571
0  17  3  0.04178093743165989
0  16  3  0.04295387267920336
0  19  3  0.032020175213185495
0  18  3  0.04578877595188771
0  21  3  0.031686588625290814
0  20  3  0.03431519321139214
0  23  3  0.030671720047125053
0  22  3  0.04031308903403311
0  25  3  0.04282359876029109
0  24  3  0.026835480220393414
0  27  3  0.024193443302335145
0  26  3  0.026752730979064065
0  29  3  0.028677209828162815
0  28  3  0.03192772022784273
0  31  3  0.025431852563785683
0  30  3  0.03035121924224478
0  33  3  0.03490076835295575
0  32  3  0.02410306998427038
0  35  3  0.022636890243538037
0  34  3  0.03156299645482505
0  37  3  0.028067639732764146
0  36  3  0.03288085562178232
0  39  3  0.026216337303863385
0  38  3  0.03102271953256983
0  41  3  0.03592990477833713
0  40  3  0.03643159608682806
0  43  3  0.037240576615171474
0  42  3  0.0368018504011887
0  45  3  0.036934348404752605
0  44  3  0.02955399289447226
0  47  3  0.026827239001705583
0  46  3  0.04065042831972314
0  49  3  0.038382578809160815
0  48  3  0.04568172555936997
0  51  3  0.043298589184847844
0  50  3  0.04342031806134184
0  53  3  0.05609081201423279
0  52  3  0.04311852140486601
0  55  3  0.04247478538153163
0  54  3  0.041069026211565114
0  57  3  0.040286385776476016
0  56  3  0.040055607916987555
0  59  3  0.04609460776728328
0  58  3  0.04731833854475754
0  61  3  0.059586982888946316
0  60  3  0.05586852223021314
0  63  3  0.050894813829219655
0  62  3  0.0605197502248328
-1  63  3  0.07478639638726083
-1  63  4  0.08256501830501517
3  63  4  0.05395672839755477
3  62  4  0.05007692843856915
3  61  4  0.05846293372282076
3  60  4  0.04148971579899792
3  59  4  0.0457729155662391
3  58  4  0.04782220339953004
3  57  4  0.04148775960989244
3  56  4  0.041924559362922734
3  55  4  0.049206106814412544
3  54  4  0.05940704941086031
3  53  4  0.04300488930714727
3  52  4  0.04657559738133963
3  51  4  0.04207945312414598
3  50  4  0.04179809337130158
3  49  4  0.03786695395289252
3  48  4  0.03897121803422743
3  47  4  0.03341123838199698
3  46  4  0.04228005354728488
3  45  4  0.036759820949826535
3  44  4  0.023464784783270482
3  43  4  0.029091608677786655
3  42  4  0.030199430315442265
3  41  4  0.024269866314839312
3  40  4  0.03705717103127781
3  39  4  0.0226868821416242
3  38  4  0.028228821901960688
3  37  4  0.028547421612800005
3  36  4  0.029057095245895805
3  35  4  0.02483896094278003
3  34  4  0.03544806309639273
3  33  4  0.027819775290070074
3  32  4  0.04066446544419359
3  31  4  0.028277971736824527
3  30  4  0.031633365951205146
3  29  4  0.029199024001997528
3  28  4  0.021487668189328176
3  27  4  0.03159103476595602
3  26  4  0.040035132797318594
3  25  4  0.025956323087445294
3  24  4  0.030035061409136508
3  23  4  0.02724119151091963
3  22  4  0.033127481247038806
3  21  4  0.034759722635426656
3  20  4  0.04033680610338007
3  19  4  0.03299404020404869
3  18  4  0.04044915391873637
3  17  4  0.0482704835081937
3  16  4  0.04273605103206155
3  15  4  0.03244136542595042
3  14  4  0.05797125329452812
3  13  4  0.04398360946690475
3  12  4  0.05216007375012489
3  11  4  0.05308119604593413
3  10  4  0.05695933394448644
3  9  4  0.04678359770837398
3  8  4  0.03971990622879125
3  7  4  0.046519040639516736
3  6  4  0.059938997454987736
3  5  4  0.04963437683594946
3  4  4  0.04589214505878273
3  3  4  0.04235337095471321
3  2  4  0.06183720586237565
3  1  4  0.05214261744686619
3  0  4  0.05930832488860612
2  0  4  0.05062568850410192
2  1  4  0.05344953384898167
2  2  4  0.032754180606236784
2  3  4  0.04280199654784897
2  4  4  0.04787106144007624
2  5  4  0.05510657075130555
2  6  4  0.04451462843792481
2  7  4  0.046829262351907895
2  8  4  0.04119644150057549
2  9  4  0.04603628678298943
2  10  4  0.03348650264111263
2  11  4  0.03742883295519194
2  12  4  0.0377705988004976
2  13  4  0.03975193824180485
2  14  4  0.039575629112021116
2  15  4  0.04448173738244004
2  16  4  0.0341679264095733
2  17  4  0.030175720276367834
2  18  4  0.02669219334122366
2  19  4  0.036730632180644034
2  20  4  0.02989591753800237
2  21  4  0.04202686945375213
2  22  4  0.03504340273668496
2  23  4  0.022888390628679624
2  24  4  0.026070818508979455
2  25  4  0.03549403820908061
2  26  4  0.0267964176027768
2  27  4  0.02308626219135991
2  28  4  0.03299430398611184
2  29  4  0.04618954649603389
2  30  4  0.03426970660192184
2  31  4  0.02877087770125127
2  32  4  0.03298524902484674
2  33  4  0.036434082782800394
2  34  4  0.0412556594065753
2  35  4  0.03849992352414261
2  36  4  0.03714090899737782
2  37  4  0.02806029784457167
2  38  4  0.02369914931049253
2  39  4  0.036866384234629894
2  40  4  0.037876916978074125
2  41  4  0.0335368966869469
2  42  4  0.03716070432388677
2  43  4  0.038087716196203304
2  44  4  0.03755426949646046
2  45  4  0.04967660530959882
2  46  4  0.033210371842440384
2  47  4  0.06061906496346
2  48  4  0.03929508638326613
2  49  4  0.03689476531714116
2  50  4  0.042045114768845704
2  51  4  0.04803190780537943
2  52  4  0.05017723565320222
2  53  4  0.04146017687663426
2  54  4  0.04976694949905028
2  55  4  0.056146147533950745
2  56  4  0.052355319163946396
2  57  4  0.062499775049207486
2  58  4  0.05700395279718594
2  59  4  0.06621086653679537
2  60  4  0.04542636662847865
2  61  4  0.060980147592593646
2  63  4  0.04941792614547619
1  62  4  0.04823939875161199
1  60  4  0.03203209792803954
1  61  4  0.03378764781961471
1  58  4  0.028536581173424995
1  59  4  0.03314998309672726
1  56  4  0.048231538242277806
1  57  4  0.030586170788617605
1  54  4  0.03879160370778881
1  55  4  0.03698641679426128
1  52  4  0.03446021911780879
1  53  4  0.032797871704307716
1  50  4  0.023215548601832437
1  51  4  0.026772640988971152
1  48  4  0.025595799536167446
1  49  4  0.030091919703272213
1  46  4  0.03134522986647336
1  47  4  0.03661197810557932
1  44  4  0.029831044429538454
1  45  4  0.02570974735219911
1  42  4  0.03313850527463365
1  43  4  0.0265203334240007
1  40  4  0.025764600893982314
1  41  4  0.028429559969223563
1  38  4  0.017924692747343717
1  39  4  0.03419938080571769
1  36  4  0.026898847749810814
1  37  4  0.02225459024723495
1  34  4  0.027259484961132032
1  35  4  0.025089789720244414
1  32  4  0.023348861854496496
1  33  4  0.026694937759709606
1  30  4  0.039211574211980856
1  31  4  0.04420695746317262
1  28  4  0.0343855763125576
1  29  4  0.027031559759754624
1  26  4  0.023602140278613546
1  27  4  0.020381843611240298
1  24  4  0.03035572726732184
1  25  4  0.02557478807438294
1  22  4  0.028018679565010782
1  23  4  0.031579667709283436
1  20  4  0.02925648801528985
1  21  4  0.03462183266818545
1  18  4  0.03320245877283412
1  19  4  0.031188933864417463
1  16  4  0.02035280531272972
1  17  4  0.03558127313132532
1  14  4  0.03134322654544242
1  15  4  0.036501588463678875
1  12  4  0.03300017016678994
1  13  4  0.042179724713556514
1  10  4  0.029281225210652215
1  11  4  0.030287247199953057
1  8  4  0.036885228137268015
1  9  4  0.04743133839205728
1  6  4  0.03569117487954293
1  7  4  0.041419256165061535
1  4  4  0.04198471508700237
1  5  4  0.05000290278868272
1  2  4  0.043164796843810554
1  3  4  0.039910166506591564
1  0  4  0.04136900311573191
1  1  4  0.044136804265447104
0  1  4  0.0532438474616879
0  0  4  0.06398644827284632
0  3  4  0.0371616248367999
0  2  4  0.04874662090941356
0  5  4  0.03717881692884526
0  4  4  0.05219191911223159
0  7  4  0.045341793241173795
0  6  4  0.04793973346598519
0  9  4  0.03738459224984491
0  8  4  0.041979555241690183
0  11  4  0.03507002954680483
0  10  4  0.05625472808626176
0  13  4  0.0440965998546958
0  12  4  0.046422009567795165
0  15  4  0.034835815937960084
0  14  4  0.04043167064310816
0  17  4  0.03506003019041668
0  16  4  0.03562569609755628
0  19  4  0.03229598680770297
0  18  4  0.04517636278516746
0  21  4  0.02684126397469147
0  20  4  0.03640075217434543
0  23  4  0.026736923721635997
0  22  4  0.032103941504888316
0  25  4  0.03210194804029542
0  24  4  0.03300261702753253
0  27  4  0.032557379544433634
0  26  4  0.040340252180318684
0  29  4  0.032487756130252614
0  28  4  0.02873985295916335
0  31  4  0.036571428719496736
0  30  4  0.03863434177480531
0  33  4  0.031935955767321
0  32  4  0.029295694461689954
0  35  4  0.02785073818141464
0  34  4  0.0426289762310458
0  37  4  0.028356590294329093
0  36  4  0.03363353994680293
0  39  4  0.03722652948127092
0  38  4  0.02976000168828015
0  41  4  0.03726405540498579
0  40  4  0.04414990839981676
0  43  4  0.030258096784459794
0  42  4  0.03724457169109694
0  45  4  0.04030101370049497
0  44  4  0.03735650386555009
0  47  4  0.04221003818873809
0  46  4  0.030161614576629022
0  49  4  0.03900634838740175
0  48  4  0.033937411467361865
0  51  4  0.038001836897230024
0  50  4  0.0437404128251481
0  53  4  0.04696580403893154
0  52  4  0.043898214398114095
0  55  4  0.042083156261892914
0  54  4  0.04587699289834225
0  57  4  0.04958396967459403
0  56  4  0.05770331892806306
0  59  4  0.04984321863605174
0  58  4  0.041994684874076364
0  61  4  0.060405338210321964
0  60  4  0.05862213608183508
0  63  4  0.052558613104726315
0  62  4  0.0816996945511551
-1  63  4  0.04687939264666463
-1  63  5  0.07361980515703957
3  63  5  0.04990049550223769
3  62  5  0.0651285847901809
3  61  5  0.049468539044729504
3  60  5  0.05218186251264792
3  59  5  0.047535014306550785
3  58  5  0.04534374251794063
3  57  5  0.057391420321881104
3  56  5  0.04738065575345269
3  55  5  0.06492417021119427
3  54  5  0.05073767655887383
3  53  5  0.05944815160004292
3  52  5  0.044424922187692686
3  51  5  0.04127011760222253
3  50  5  0.046679140167112554
3  49  5  0.04636204679738395
3  48  5  0.04605121570414068
3  47  5  0.032937303300247175
3  46  5  0.0295559060211269
3  45  5  0.0384741939574891
3  44  5  0.041203801219202515
3  43  5  0.03467168436505889
3  42  5  0.02916483013574969
3  41  5  0.030541642712980255
3  40  5  0.03381952493678431
3  39  5  0.020330860283636544
3  38  5  0.02778452315199233
3  37  5  0.02510245247484192
3  36  5  0.028651025818324665
3  35  5  0.025201610654414765
3  34  5  0.026315501365914616
3  33  5  0.01920039867921392
3  32  5  0.0396412460527903
3  31  5  0.030608969216196814
3  30  5  0.02395180838765225
3  29  5  0.026905957634960103
3  28  5  0.03080791602159048
3  27  5  0.025089770896225827
3  26  5  0.039863163132073526
3  25  5  0.02893633438502395
3  24  5  0.03810484151550363
3  23  5  0.030073788317999745
3  22  5  0.05183825758917596
3  21  5  0.04727897813255435
3  20  5  0.03582463930726899
3  19  5  0.0394868359390325
3  18  5  0.048897345369408984
3  17  5  0.040202258841489424
3  16  5  0.04892914423443637
3  15  5  0.039334399192340844
3  14  5  0.059303153650343964
3  13  5  0.0527644604684242
3  12  5  0.050243205145164234
3  11  5  0.05444948626358583
3  10  5  0.07066699648688352
3  9  5  0.04582963611281176
3  8  5  0.03916999099793693
3  7  5  0.05359458240201622
3  6  5  0.07990280434024989
3  5  5  0.06533569458546917
3  4  5  0.06315073663400406
3  3  5  0.06285954546476799
3  2  5  0.08600082731317477
3  1  5  0.08595559455263313
3  0  5  0.10880709143161342
2  0  5  0.08556236483788092
2  1  5  0.07874844554189656
2  2  5  0.062362181966783364
2  3  5  0.06349052606865936
2  4  5  0.04646167136656032
2  5  5  0.061591157923855465
2  6  5  0.054042588286684456
2  7  5  0.05724060070497048
2  8  5  0.044296798635708755
2  9  5  0.04923894880181866
2  10  5  0.05359102940383066
2  11  5  0.04957799295057488
2  12  5  0.03537236091884598
2  13  5  0.04614116561862712
2  14  5  0.043563062324398355
2  15  5  0.059530217420930266
2  16  5  0.04661759080144705
2  17  5  0.05100455453340218
2  18  5  0.04503058650767885
2  19  5  0.033694387215729385
2  20  5  0.0351620777993207
2  21  5  0.048625278517583255
2  22  5  0.038319420575447176
2  23  5  0.03414173453015348
2  24  5  0.038212235338627956
2  25  5  0.03727483676522906
2  26  5  0.03973623016259502
2  27  5  0.03254450950743594
2  28  5  0.030656587829082035
2  29  5  0.04094748849257684
2  30  5  0.02914204735516809
2  31  5  0.033446924173238704
2  32  5  0.03025914185856743
2  33  5  0.03591658368181867
2  34  5  0.034605482821690015
2  35  5  0.036142698267533524
2  36  5  0.03052092001511967
2  37  5  0.03577639259180213
2  38  5  0.03332903306853584
2  39  5  0.03233957463451978
2  40  5  0.032151636029968796
2  41  5  0.04163122971332382
2  42  5  0.04068881803760377
2  43  5  0.028281113240081698
2  44  5  0.03598545700482578
2  45  5  0.03404785194353291
2  46  5  0.04315376443315527
2  47  5  0.040667570358480946
2  48  5  0.0353441900493273
2  49  5  0.03353038447560391
2  50  5  0.04678705194050007
2  51  5  0.042390586985164846
2  52  5  0.042626378569236
2  53  5  0.04535984350576036
2  54  5  0.041947305931856825
2  55  5  0.040641391605359185
2  56  5  0.05126336092102351
2  57  5  0.05380550768612121
2  58  5  0.04965457459220485
2  59  5  0.0689937452714608
2  60  5  0.04797930313638902
2  61  5  0.06191028559597526
2  63  5  0.06939788709673538
1  62  5  0.05475021288065661
1  60  5  0.04618654138566672
1  61  5  0.04621669275186175
1  58  5  0.03479809649081363
1  59  5  0.05369533679515821
1  56  5  0.032984196117504236
1  57  5  0.03644664182747324
1  54  5  0.040580333539230816
1  55  5  0.03681946201622886
1  52  5  0.032127788249118425
1  53  5  0.037114487317463446
1  50  5  0.02862374625726526
1  51  5  0.04431834916326014
1  48  5  0.0324541161945981
1  49  5  0.0477615770128947
1  46  5  0.034155506405626666
1  47  5  0.03235130585285685
1  44  5  0.040394190056611955
1  45  5  0.04787825116610183
1  42  5  0.03342928021165416
1  43  5  0.030752355150850234
1  40  5  0.04061182523545042
1  41  5  0.037956139436862504
1  38  5  0.03486561713064172
1  39  5  0.03610312711851375
1  36  5  0.03312927411801357
1  37  5  0.030986088832443335
1  34  5  0.0319281227028338
1  35  5  0.024310198252913737
1  32  5  0.034290567075228935
1  33  5  0.03539711979084342
1  30  5  0.02959172145180249
1  31  5  0.04233770979589759
1  28  5  0.02345970916557683
1  29  5  0.02981984174399784
1  26  5  0.03489546552892885
1  27  5  0.028877054089452486
1  24  5  0.032182894475952045
1  25  5  0.03153353487583078
1  22  5  0.02320313655121396
1  23  5  0.03133588830768446
1  20  5  0.03422692442462208
1  21  5  0.04380912070364787
1  18  5  0.0388995378747102
1  19  5  0.03401224863630804
1  16  5  0.034956689283758946
1  17  5  0.04518972364629662
1  14  5  0.046927484548733786
1  15  5  0.04356889866133901
1  12  5  0.040222928357629556
1  13  5  0.04255720883330552
1  10  5  0.044504996784477766
1  11  5  0.04226890941962651
1  8  5  0.042910207649654156
1  9  5  0.05528299042981478
1  6  5  0.05375469426767562
1  7  5  0.03413898859528751
1  4  5  0.04826842535662244
1  5  5  0.062488813083911444
1  2  5  0.05868182015035282
1  3  5  0.06665005548534257
1  0  5  0.06296143332527535
1  1  5  0.07957047336086519
0  1  5  0.06468279033330672
0  0  5  0.07469410066212077
0  3  5  0.052920155834754255
0  2  5  0.07322032902843206
0  5  5  0.05608004324942647
0  4  5  0.05731622987347673
0  7  5  0.044434194396271214
0  6  5  0.04668636087393098
0  9  5  0.04114628970991985
0  8  5  0.05542174003666371
0  11  5  0.04200504618552776
0  10  5  0.05747104405067461
0  13  5  0.040745388031715984
0  12  5  0.039126589296126474
0  15  5  0.03662622666082168
0  14  5  0.046690549102289904
0  17  5  0.035421141510325646
0  16  5  0.042742576718080134
0  19  5  0.026119335970710807
0  18  5  0.040715479039847284
0  21  5  0.03137275586646201
0  20  5  0.03840192884030203
0  23  5  0.02483348442345296
0  22  5  0.04441051927207563
0  25  5  0.023920823897669984
0  24  5  0.031579474505642725
0  27  5  0.029578269676691357
0  26  5  0.05146342796369283
0  29  5  0.03355844876138342
0  28  5  0.02968631045639472
0  31  5  0.026883488899266925
0  30  5  0.03763877691771367
0  33  5  0.028223162089428905
0  32  5  0.03015226055629809
0  35  5  0.03747483007589978
0  34  5  0.042977035098908954
0  37  5  0.03537522854168959
0  36  5  0.030080975843182176
0  39  5  0.03593048630961454
0  38  5  0.03487042341353279
0  41  5  0.0359254231099376
0  40  5  0.03115448081940203
0  43  5  0.03425270335797017
0  42  5  0.034308505199120355
0  45  5  0.0433617897994929
0  44  5  0.04251586462072073
0  47  5  0.03652251468658654
0  46  5  0.03690364831473516
0  49  5  0.04113771450625439
0  48  5  0.040297334852068566
0  51  5  0.031180708145253817
0  50  5  0.03605274961478675
0  53  5  0.04612011627779363
0  52  5  0.031393614600985664
0  55  5  0.0414447397603854
0  54  5  0.03947942087418995
0  57  5  0.043460620354795844
0  56  5  0.05620824957308019
0  59  5  0.045687623529896394
0  58  5  0.03958864201686252
0  61  5  0.04033029776044898
0  60  5  0.05741884146827039
0  63  5  0.05131789187570674
0  62  5  0.054529405021886496
-1  63  5  0.06910631568822895
-1  63  6  0.07781169827156326
3  63  6  0.04179183494813906
3  62  6  0.05397711542842186
3  61  6  0.05715052050336607
3  60  6  0.048544077807893736
3  59  6  0.04052043698450603
3  58  6  0.04316517462988453
3  57  6  0.04077910298994779
3  56  6  0.04376707131160844
3  55  6  0.030457025867658492
3  54  6  0.04304290076934576
3  53  6  0.04330065577152677
3  52  6  0.040283394842531926
3  51  6  0.03924242178325766
3  50  6  0.03523266359287542
3  49  6  0.028781523174036757
3  48  6  0.04326985389013375
3  47  6  0.04173925510322428
3  46  6  0.029010660889708686
3  45  6  0.038347975213617824
3  44  6  0.029893808299502594
3  43  6  0.03616989332311114
3  42  6  0.033274389566238516
3  41  6  0.03481531305676969
3  40  6  0.03547301661983447
3  39  6  0.034733340892721044
3  38  6  0.026448901591084713
3  37  6  0.027271993037164908
3  36  6  0.025104544050388044
3  35  6  0.02868684908641482
3  34  6  0.0362169640910934
3  33  6  0.032990258526864005
3  32  6  0.034380118640875194
3  31  6  0.028179576636412993
3  30  6  0.0237933384169088
3  29  6  0.025937887682417483
3  28  6  0.03489695662511482
3  27  6  0.025112743079734733
3  26  6  0.03333159241277494
3  25  6  0.03449836323823584
3  24  6  0.03375195696464382
3  23  6  0.02453575395233622
3  22  6  0.0327390981005257
3  21  6  0.02940842938806301
3  20  6  0.026374008964813584
3  19  6  0.03845090951737259
3  18  6  0.039488075398840757
3  17  6  0.033640617409411225
3  16  6  0.041391981566700445
3  15  6  0.030152830094775047
3  14  6  0.039792830917508806
3  13  6  0.035921223425587616
3  12  6  0.03478318319549904
3  11  6  0.03612510459563526
3  10  6  0.04498094463153333
3  9  6  0.040968827350617694
3  8  6  0.03618853942965191
3  7  6  0.030855893461986597
3  6  6  0.04960408222384391
3  5  6  0.04342861773700202
3  4  6  0.04174589500261229
3  3  6  0.02993362956641245
3  2  6  0.05261565958025682
3  1  6  0.043227258822250904
3  0  6  0.053534816546799945
2  0  6  0.06113017252877578
2  1  6  0.048710111551429826
2  2  6  0.05135547466173361
2  3  6  0.047161469461132255
2  4  6  0.03326350511683218
2  5  6  0.04304776851811211
2  6  6  0.04131401147170272
2  7  6  0.04516359398678025
2  8  6  0.03759087258333251
2  9  6  0.040784940662583785
2  10  6  0.03515617331163212
2  11  6  0.03389321912449044
2  12  6  0.0346720113373841
2  13  6  0.04763457475650176
2  14  6  0.04244364191795892
2  15  6  0.034405515689489956
2  16  6  0.033081916332545515
2  17  6  0.04331608843870501
2  18  6  0.03188265985598328
2  19  6  0.03168946144556532
2  20  6  0.025517548058498523
2  21  6  0.036634504986089445
2  22  6  0.035564660828452374
2  23  6  0.02995850539425613
2  24  6  0.03335456691789285
2  25  6  0.029205339113881023
2  26  6  0.038380590036823294
2  27  6  0.03875778617796116
2  28  6  0.02658278281157751
2  29  6  0.03467045220742542
2  30  6  0.03272366316717019
2  31  6  0.033914376155441385
2  32  6  0.030536219698379594
2  33  6  0.02975378347244296
2  34  6  0.031040113278078544
2  35  6  0.0299926181606341
2  36  6  0.026111039488744596
2  37  6  0.0297180594540292
2  38  6  0.03537938497375469
2  39  6  0.03253684631193196
2  40  6  0.03009265175748898
2  41  6  0.04183531835750996
2  42  6  0.03992123705372809
2  43  6  0.03836962627121269
2  44  6  0.03586267900211
2  45  6  0.02612694805314859
2  46  6  0.03457975979325906
2  47  6  0.037434544877024675
2  48  6  0.03477577052966351
2  49  6  0.03912480718317683
2  50  6  0.04249889131969246
2  51  6  0.051207815083466425
2  52  6  0.04092420178790494
2  53  6  0.04412631932880334
2  54  6  0.041869632813664584
2  55  6  0.038745326735355294
2  56  6  0.0429513336107549
2  57  6  0.04929464025059075
2  58  6  0.04379375328273275
2  59  6  0.056525853272478124
2  60  6  0.04849235004563082
2  61  6  0.04609169328881316
2  63  6  0.0547656590020891
1  62  6  0.04312505339582778
1  60  6  0.034739016299005644
1  61  6  0.051746402549468766
1  58  6  0.04344176419618313
1  59  6  0.04602551996151885
1  56  6  0.03507357447936196
1  57  6  0.040674499800793434
1  54  6  0.040921954956482445
1  55  6  0.03854052218610404
1  52  6  0.035357017279903084
1  53  6  0.030052279898963932
1  50  6  0.028466350275624122
1  51  6  0.03275702500124275
1  48  6  0.03787455549977296
1  49  6  0.035833415409159824
1  46  6  0.027112227388832122
1  47  6  0.04354547332696224
1  44  6  0.026024469326432913
1  45  6  0.03680933794842729
1  42  6  0.02690647578154072
1  43  6  0.03123133202876831
1  40  6  0.03232235366521302
1  41  6  0.031738908447677634
1  38  6  0.02998636453628005
1  39  6  0.03613336436304647
1  36  6  0.02810132974636025
1  37  6  0.021727769541038007
1  34  6  0.025760487097051952
1  35  6  0.026799723902595232
1  32  6  0.033693043141906916
1  33  6  0.028738068384224037
1  30  6  0.028589724532062002
1  31  6  0.04650071400861347
1  28  6  0.026514781810558847
1  29  6  0.032198200706990775
1  26  6  0.028054484441702932
1  27  6  0.032464886310029084
1  24  6  0.02577244656176996
1  25  6  0.0343906785837906
1  22  6  0.029536776993234697
1  23  6  0.032828760869204325
1  20  6  0.024506382062132907
1  21  6  0.035461321478314434
1  18  6  0.02737919890327185
1  19  6  0.035143994689980404
1  16  6  0.03014438753539756
1  17  6  0.03336430546682835
1  14  6  0.03209658593533914
1  15  6  0.02900162058426141
1  12  6  0.02955221853339441
1  13  6  0.041294467294256745
1  10  6  0.03044985713626287
1  11  6  0.030874056676655152
1  8  6  0.037604178617828485
1  9  6  0.05117302234305662
1  6  6  0.04656807287520209
1  7  6  0.022242159019439763
1  4  6  0.03853487369256377
1  5  6  0.04754735429231555
1  2  6  0.03556110688189356
1  3  6  0.04863904770432942
1  0  6  0.0483397891218755
1  1  6  0.04739156744578478
0  1  6  0.059837448814511834
0  0  6  0.10308483974738697
0  3  6  0.05468240581032192
0  2  6  0.05962363822487302
0  5  6  0.05693368148304825
0  4  6  0.06620062787903125
0  7  6  0.05415133119338842
0  6  6  0.051582884472684935
0  9  6  0.04669628670511769
0  8  6  0.05030908641831186
0  11  6  0.04393037515879815
0  10  6  0.049152251696432586
0  13  6  0.03433480266291763
0  12  6  0.03939099935463553
0  15  6  0.03170524993472979
0  14  6  0.0404071470711518
0  17  6  0.03953442924986581
0  16  6  0.030767978897761818
0  19  6  0.038380286279229195
0  18  6  0.0359788978228247
0  21  6  0.03911432544841097
0  20  6  0.03405457462228028
0  23  6  0.032390175103906356
0  22  6  0.035445261625693114
0  25  6  0.035032489243425946
0  24  6  0.02928510987446133
0  27  6  0.02621450045561201
0  26  6  0.03592686427224889
0  29  6  0.034364170180361205
0  28  6  0.030053502576989525
0  31  6  0.027488684374152868
0  30  6  0.02114204400574007
0  33  6  0.030077175111234065
0  32  6  0.0379673372362587
0  35  6  0.029651645966601015
0  34  6  0.030631687489635313
0  37  6  0.034624986463980094
0  36  6  0.0388852569527646
0  39  6  0.024411368822026294
0  38  6  0.029748865141016153
0  41  6  0.03508602440997995
0  40  6  0.031128436467017632
0  43  6  0.03361384568371308
0  42  6  0.0330491520700417
0  45  6  0.04133553160984631
0  44  6  0.03122724326327969
0  47  6  0.03660973692299087
0  46  6  0.03223218232306706
0  49  6  0.04313860513135857
0  48  6  0.0476208497938615
0  51  6  0.048361313833884964
0  50  6  0.037767550252187206
0  53  6  0.04391621905770337
0  52  6  0.05174833187030764
0  55  6  0.04506830718542244
0  54  6  0.047062202160312844
0  57  6  0.04214108582111053
0  56  6  0.043145397270504524
0  59  6  0.04409822607177914
0  58  6  0.04193463919342054
0  61  6  0.050264340121747894
0  60  6  0.05534362822697575
0  63  6  0.04782646890562541
0  62  6  0.06238449634528453
-1  63  6  0.055177041832713235
2  63  7  0.06680939601369741
2  61  7  0.09374609937136891
2  60  7  0.0411947097844729
2  59  7  0.0364265676674459
2  58  7  0.040423571867594446
2  57  7  0.08584731109015993
2  56  7  0.04066304939783893
2  55  7  0.08433357060895467
2  54  7  0.0491332746177236
2  53  7  0.034422080023805264
2  52  7  0.03530130872180168
2  51  7  0.03575714679946837
2  50  7  0.0408041222673697
2  49  7  0.030357940107430176
2  48  7  0.07982883424953995
2  47  7  0.03247957471771676
2  46  7  0.035794543080981164
2  45  7  0.04035614791548357
2  44  7  0.07391022649388485
2  43  7  0.07056663444771713
2  42  7  0.08983715588285825
2  41  7  0.028774400052551042
2  40  7  0.03656312406662737
2  39  7  0.0344297787112972
2  38  7  0.03627488585778433
2  37  7  0.025387261143015562
2  36  7  0.033516870580006485
2  35  7  0.03511744909482401
2  34  7  0.037366902372926655
2  33  7  0.029882439228587673
2  32  7  0.07772209492592255
2  31  7  0.0640757668864262
2  30  7  0.09286595715157772
2  29  7  0.08316676385526973
2  28  7  0.06137402036713791
2  27  7  0.03548586569366089
2  26  7  0.03345869342102453
2  25  7  0.07324977580556656
2  24  7  0.03493118827697101
2  23  7  0.03803818515173784
2  22  7  0.04119634157149565
2  21  7  0.029554503500122852
2  20  7  0.03668893205670174
2  19  7  0.0345319839016152
2  18  7  0.03528644132892775
2  17  7  0.034446833442616155
2  16  7  0.034600993151090054
2  15  7  0.029026211289266603
2  14  7  0.0391476259909863
2  13  7  0.03357836477614153
2  12  7  0.036015524700484886
2  11  7  0.05606338112401818
2  10  7  0.022641461023078964
2  9  7  0.0752043451781053
2  8  7  0.03401239223039732
2  7  7  0.023234662095506748
2  6  7  0.029786352077363534
2  5  7  0.07924366891463017
2  4  7  0.04322640550090736
2  3  7  0.03312247091088432
2  2  7  0.03640226054935918
2  1  7  0.035899551597722845
2  0  7  0.04604536174788091
3  0  7  0.03760751425084506
